Time,Latitude,Longitude,PM10,PM25,Humidity,Temperature
00.00. 00:00:00.00,69.647689,18.985994,21.5,6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985996,21.5,6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985998,21.4,6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986,21.3,6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985992,21.5,5.9,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985982,21.4,5.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985984,21.4,5.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985986,21.4,5.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985988,21.4,5.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985998,21.2,5.9,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986001,21.2,5.9,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986003,21.1,5.9,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985979,21.3,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.98598,21.3,5.8,99.9,1.2
00.00. 00:00:00.00,69.647705,18.985973,21.1,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985975,21.1,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986003,21.1,5.8,99.9,1.2
00.00. 00:00:00.00,69.647705,18.985975,21,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985975,21,5.8,99.9,1.2
00.00. 00:00:00.00,69.647705,18.985975,20.9,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985973,20.8,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985975,20.8,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985969,20.5,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985969,20.2,5.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985975,21.3,5.7,99.9,1.2
00.00. 00:00:00.00,69.647705,18.986001,21,5.7,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985965,20.1,5.7,99.9,1.2
00.00. 00:00:00.00,69.647705,18.986003,17.6,5.6,99.9,1.2
00.00. 00:00:00.00,69.647705,18.986,10.9,5.3,99.9,1.2
00.00. 00:00:00.00,69.647705,18.985994,10.6,5.3,99.9,1.2
00.00. 00:00:00.00,69.647705,18.985992,10,5.2,99.9,1.2
00.00. 00:00:00.00,69.647705,18.985992,10,5.1,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985994,9.9,5.1,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985996,9.8,5,99.9,1.2
00.00. 00:00:00.00,69.647697,18.985998,9.7,4.9,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986001,9.6,4.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986005,9.6,4.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986003,9.4,4.7,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986011,8.9,4.4,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986015,8.9,4.3,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986019,8.8,4.2,99.9,1.2
00.00. 00:00:00.00,69.647705,18.986022,8.8,4.2,99.9,1.2
00.00. 00:00:00.00,69.647705,18.986022,8.8,4.1,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986017,8.4,4,99.9,1.2
00.00. 00:00:00.00,69.647705,18.986022,8.3,4,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986021,8.3,4,99.9,1.2
00.00. 00:00:00.00,69.647705,18.986022,8,4,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986009,7.9,3.8,99.9,1.2
00.00. 00:00:00.00,69.647697,18.986003,7.6,3.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985996,7.4,3.6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985988,7.2,3.5,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985986,7.1,3.5,99.9,1.2
00.00. 00:00:00.00,69.647682,18.98598,6.8,3.4,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985979,6.8,3.4,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985975,6.4,3.2,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985973,6.2,3.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985967,5.9,3,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985967,5.9,2.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985969,5.9,2.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985967,5.8,2.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985969,5.8,2.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985969,5.7,2.7,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985965,5.2,2.7,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985969,8.1,2.6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985963,4.4,2.6,99.9,1.2
00.00. 00:00:00.00,69.647689,18.985971,6.2,2.5,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985969,6.1,2.5,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985967,4.9,2.5,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985965,4.3,2.5,99.9,1.2
00.00. 00:00:00.00,69.647682,18.98599,4.5,2.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985992,4.5,2.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985996,4.5,2.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985992,4.4,2.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985992,4.4,2.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985992,4.4,2.1,99.9,1.2
00.00. 00:00:00.00,69.647674,18.985988,4.3,2.1,99.9,1.2
00.00. 00:00:00.00,69.647674,18.985988,4.3,2.1,99.9,1.2
00.00. 00:00:00.00,69.647674,18.98599,4.3,2.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.98599,4.3,2.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985994,4.2,2.1,99.9,1.2
00.00. 00:00:00.00,69.647674,18.98599,4.1,2.1,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985998,4,2.1,99.9,1.2
00.00. 00:00:00.00,69.647674,18.98599,3.9,2.1,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986013,4,2,99.9,1.2
00.00. 00:00:00.00,69.647674,18.985992,3.7,2,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986,3.7,2,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986001,3.7,2,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986005,3.7,2,99.9,1.2
00.00. 00:00:00.00,69.647674,18.98599,3.6,2,99.9,1.2
00.00. 00:00:00.00,69.647674,18.985992,3.5,2,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986022,5.7,1.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986022,5.6,1.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986019,5.5,1.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986011,3.9,1.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986015,3.9,1.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986013,3.9,1.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986017,3.9,1.9,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986019,3.9,1.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986007,3.7,1.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986005,3.6,1.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986007,3.6,1.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986007,3.6,1.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986009,3.6,1.9,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986028,5.7,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986022,5.7,1.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986028,5.6,1.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986028,5.6,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986024,5.4,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986024,5.3,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986022,5.3,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986026,5.3,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986024,5.3,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986024,5.3,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.986024,5.2,1.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986022,5.1,1.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986024,4.5,1.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986022,4,1.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986019,3.9,1.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986017,3.9,1.8,99.9,1.2
00.00. 00:00:00.00,69.647689,18.986022,3.9,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985992,3.7,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985992,3.7,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985996,3.7,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985996,3.7,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985998,3.7,1.8,99.9,1.2
00.00. 00:00:00.00,69.647682,18.985996,3.6,1.8,99.9,1.2
