Time,Lat,Lon,Temp,Humi,PM10,PM25
19.4.2018 6:17:21.0,69.678054,19.052694,21.20,33.50,2.20,2.00
19.4.2018 6:17:24.0,69.677726,19.051782,21.30,33.60,2.20,2.00
19.4.2018 6:17:27.0,69.677413,19.050899,21.30,33.60,2.20,2.00
19.4.2018 6:17:30.0,69.677108,19.050060,21.30,33.50,2.00,1.90
19.4.2018 6:17:33.0,69.676818,19.049263,21.30,33.60,2.20,2.00
19.4.2018 6:17:36.0,69.676567,19.048576,21.30,33.70,2.20,2.00
19.4.2018 6:17:39.0,69.676330,19.047916,21.30,33.80,2.30,2.10
19.4.2018 6:17:42.0,69.676086,19.047250,21.30,33.70,2.40,2.10
19.4.2018 6:17:45.0,69.675834,19.046562,21.30,33.60,2.30,2.10
19.4.2018 6:17:48.0,69.675575,19.045845,21.30,33.70,2.30,2.10
19.4.2018 6:17:51.0,69.675308,19.045116,21.30,33.70,2.50,2.20
19.4.2018 6:17:54.0,69.675048,19.044412,21.30,33.60,3.10,2.20
19.4.2018 6:17:57.0,69.674797,19.043733,21.30,33.70,3.10,2.20
19.4.2018 6:18:0.0,69.674560,19.043060,21.30,33.70,3.10,2.20
19.4.2018 6:18:3.0,69.674308,19.042358,21.30,33.50,3.10,2.20
19.4.2018 6:18:6.0,69.674057,19.041646,21.30,33.40,3.10,2.20
19.4.2018 6:18:9.0,69.673797,19.040933,21.30,33.40,3.10,2.10
19.4.2018 6:18:12.0,69.673538,19.040205,21.40,33.50,3.00,2.10
19.4.2018 6:18:15.0,69.673294,19.039489,21.40,33.50,3.00,2.10
19.4.2018 6:18:18.0,69.673072,19.038822,21.40,33.60,3.00,2.10
19.4.2018 6:18:21.0,69.672851,19.038188,21.40,33.80,3.10,2.10
19.4.2018 6:18:24.0,69.672637,19.037561,21.40,33.80,3.40,2.10
19.4.2018 6:18:27.0,69.672416,19.036872,21.40,33.70,3.60,2.20
19.4.2018 6:18:30.0,69.672172,19.036132,21.40,33.50,3.50,2.10
19.4.2018 6:18:33.0,69.671920,19.035358,21.40,33.40,3.40,2.10
19.4.2018 6:18:36.0,69.671653,19.034580,21.40,33.50,3.20,2.10
19.4.2018 6:18:39.0,69.671371,19.033788,21.50,33.40,3.10,2.00
19.4.2018 6:18:42.0,69.671066,19.032993,21.50,33.20,2.80,2.00
19.4.2018 6:18:45.0,69.670738,19.032224,21.50,33.00,2.90,2.00
19.4.2018 6:18:48.0,69.670402,19.031494,21.50,32.80,3.00,1.90
19.4.2018 6:18:51.0,69.670043,19.030805,21.50,32.70,2.70,1.90
19.4.2018 6:18:54.0,69.669685,19.030126,21.50,32.80,2.20,1.80
19.4.2018 6:18:57.0,69.669311,19.029470,21.50,32.80,2.30,1.80
19.4.2018 6:19:0.0,69.668960,19.028825,21.50,32.80,2.30,1.80
19.4.2018 6:19:3.0,69.668640,19.028162,21.50,32.80,2.40,1.80
19.4.2018 6:19:6.0,69.668365,19.027509,21.50,32.60,2.50,1.90
19.4.2018 6:19:9.0,69.668167,19.026897,21.60,32.50,2.50,1.90
19.4.2018 6:19:12.0,69.668060,19.026313,21.60,32.40,2.50,1.90
19.4.2018 6:19:15.0,69.667930,19.025835,21.60,32.20,2.60,1.90
19.4.2018 6:19:18.0,69.667709,19.025588,21.60,32.30,2.60,1.90
19.4.2018 6:19:21.0,69.667434,19.025127,21.50,32.10,2.50,1.80
19.4.2018 6:19:24.0,69.667137,19.024461,21.60,32.40,2.20,1.80
19.4.2018 6:19:27.0,69.666831,19.023740,21.60,32.40,2.00,1.80
19.4.2018 6:19:30.0,69.666534,19.023044,21.60,32.40,2.50,1.80
19.4.2018 6:19:33.0,69.666259,19.022460,21.60,32.90,3.30,1.90
19.4.2018 6:19:36.0,69.666061,19.021940,21.60,33.10,3.30,1.90
19.4.2018 6:19:39.0,69.665924,19.021528,21.60,33.40,3.40,2.00
19.4.2018 6:19:42.0,69.665809,19.021272,21.60,33.80,3.50,2.10
19.4.2018 6:19:45.0,69.665733,19.020999,21.60,34.20,3.40,2.00
19.4.2018 6:19:48.0,69.665649,19.020668,21.60,33.90,3.30,2.00
19.4.2018 6:19:51.0,69.665489,19.020313,21.60,33.60,3.40,2.10
19.4.2018 6:19:54.0,69.665260,19.020084,21.70,33.80,3.30,2.10
19.4.2018 6:19:57.0,69.664962,19.019710,21.70,33.70,3.20,2.10
19.4.2018 6:20:0.0,69.664649,19.019247,21.60,33.50,3.30,2.20
19.4.2018 6:20:3.0,69.664321,19.018764,21.70,33.60,3.50,2.20
19.4.2018 6:20:6.0,69.664001,19.018308,21.70,33.30,3.40,2.20
19.4.2018 6:20:9.0,69.663681,19.017906,21.70,33.10,3.50,2.20
19.4.2018 6:20:12.0,69.663368,19.017517,21.70,33.10,3.70,2.20
19.4.2018 6:20:15.0,69.663063,19.017087,21.70,33.00,3.80,2.30
19.4.2018 6:20:18.0,69.662788,19.016555,21.70,32.80,4.00,2.40
