New AIR:BIT Logging started
Time,Lat,Lon,Temp,Humi,PM10,PM25
Time,Lat,Lon,Temp,Humi,PM10,PM25
5.4.2018 10:55:0.0,69.648567,19.001285,9.80,24.30,0.90,0.80
5.4.2018 10:55:3.0,69.648559,19.001165,9.70,24.40,0.90,0.80
5.4.2018 10:55:7.0,69.648551,19.001037,9.60,24.50,1.00,0.90
5.4.2018 10:55:11.0,69.648544,19.000949,9.50,24.60,1.10,0.90
5.4.2018 10:55:15.0,69.648544,19.000833,9.60,24.70,1.10,0.90
5.4.2018 10:55:19.0,69.648544,19.000730,9.60,24.90,1.10,0.90
5.4.2018 10:55:23.0,69.648529,19.000553,9.60,25.10,1.10,0.90
5.4.2018 10:55:27.0,69.648544,19.000507,9.40,25.10,1.10,0.90
5.4.2018 10:55:31.0,69.648551,19.000415,9.10,24.90,1.10,0.90
5.4.2018 10:55:35.0,69.648529,19.000276,9.10,25.00,0.80,0.80
5.4.2018 10:55:39.0,69.648521,19.000146,9.00,25.00,1.00,0.90
5.4.2018 10:55:44.0,69.648490,18.999937,9.20,25.20,1.00,0.90
5.4.2018 10:55:48.0,69.648536,18.999956,9.30,25.50,1.00,0.90
5.4.2018 10:55:53.0,69.648574,18.999818,9.10,25.60,1.00,0.90
5.4.2018 10:55:59.0,69.648574,18.999729,9.10,25.90,1.00,0.90
5.4.2018 10:56:5.0,69.648719,18.999847,8.80,25.80,1.00,0.90
5.4.2018 10:56:11.0,69.648506,18.999229,8.70,26.00,0.90,0.90
5.4.2018 10:56:17.0,69.648368,18.999029,8.50,26.00,1.00,0.90
5.4.2018 10:56:23.0,69.648269,18.998901,8.40,26.10,1.00,0.90
5.4.2018 10:56:29.0,69.648216,18.998727,8.40,26.40,1.00,0.90
5.4.2018 10:56:35.0,69.648185,18.998590,8.30,26.50,1.00,0.90
5.4.2018 10:56:41.0,69.648132,18.998399,8.30,26.50,1.10,0.90
5.4.2018 10:56:47.0,69.648109,18.998193,8.30,26.60,1.10,0.90
5.4.2018 10:56:53.0,69.648078,18.997968,8.40,27.00,1.10,0.90
5.4.2018 10:56:59.0,69.648063,18.997718,8.50,27.10,1.00,0.90
5.4.2018 10:57:5.0,69.648033,18.997505,8.60,27.30,1.10,0.90
5.4.2018 10:57:12.0,69.647979,18.997310,8.70,27.50,1.10,0.90
5.4.2018 10:57:19.0,69.647903,18.997400,8.80,27.90,1.00,0.90
5.4.2018 10:57:26.0,69.647834,18.997497,8.80,28.00,1.00,0.90
5.4.2018 10:57:33.0,69.647758,18.997604,8.70,28.00,1.00,0.90
5.4.2018 10:57:41.0,69.647674,18.997776,8.60,27.80,1.00,1.00
5.4.2018 10:57:48.0,69.647628,18.997982,8.40,27.60,0.90,0.90
5.4.2018 10:57:55.0,69.647567,18.998258,8.40,27.70,0.90,0.90
